content,like,label
#퀴즈노스#모란역1번출구#샌드위치#커피#,14,1
사실 병원 공식 #인스타 시작하면서 제 소개를 했어야 했는데 조금 늦었네요       저는 성남에서 초등학교부터 고등학교 학창시절을 보냈습니다  치과대학  치과교정과 인턴 레지던트 과정을 거쳐 보건복지부에서 인증하는  치과교정과전문의  자격을 취득하였습니다    또한 육군 군의관 기간에 보철과장으로 재직하면서 대위로 일반진료도 수많은 경험을 가지고 만기 전역하였구요    많은 교정전문의가 있지만 전체적인 치료를 통합적으로 직접 해결하는 분은 많지 않습니다    그런 능력에 대한 자부심으로 항상 겸손하게 최선을 다하는 진료를 하겠습니다       #성남 #분당 #성남교정치과 #분당교정치과 #교정전문의 #모란역치과 #모란역1번출구 #교정진료는기본 #일반진료도잘하는치과웃자,0,1
이번주 화요일날 저의 고등학교 친구이자 저희 치과를 도와주고 계신 #브로스메디컬 김덕호 사장님께서 삼성동#탑클라우드52 에 초대해주셨습니다   덕분에 분위기 좋은곳에서 정말 맛있는 음식 많이 먹었네요    #서울야경 이렇게 멋진 줄 알았지만 실제로 다시보니 정말 멋지더라구요    앞으로도 계속 쉴땐 확실히 쉬고  일할땐 열심히 일하는 #치과웃자 되겠습니다     #서울 #야경 #서울레스토랑 #삼성동맛집 #탑클라우드52 #코스요리 #치과 #교정치과 #교정전문의 #성남교정치과 #분당교정치과 #모란역치과 #모란역1번출구 #교정치료는기본 #일반진료도잘하는치과웃자,0,1
이번 #일요일 에는 #다문화센터 #의료봉사 다녀왔습니다  해드릴 수 있는 치료는 #스케일링 간단한 #충치치료 여서 아쉬웠지만 조금이나마 #재능기부 하게되어 다행이었네요  앞으로도 계속 봉사하는 #웃자치과 되겠습니다  #치과 #치아교정 #교정치과 #교정전문의 #성남치아교정 #성남교정치과 #분당치아교정 #분당교정치과 #모란역치과 #모란역 #모란역1번출구 #웃자치과교정과치과의원,0,1
#턱관절장애 개선과 #치아교정 콜라보    #턱관절교정 구강기능에 있어 매우 중요하며 #교정치료 할때도 매우 중요합니다    자세한 내용은   m blog naver com genious200252    성남치과 턱관절  임플란트 같이 치료하는 안면 비대칭 비발치 교정치료    참고해주세요    #턱관절 #턱관절치료 #턱관절교정 #턱관절치과 #성남턱관절 #분당턱관절 #스플린트치료 #성남교정치과 #분당교정치과 #교정전문의 #모란역치과 #모란역1번출구 #교정치료는기본 #턱관절치료도치과웃자,0,1
실장님 생신축하    제 생일처럼 혼자 신났네요      앞으로도 노력하는 치과웃자가 되겠습니다    #생일 #생일케이크 #생일선물 #성남치과 #성남교정치과 #분당치과 #분당교정치과 #모란역1번출구 #모란역치과 #교정전문의 #교정치료는기본 #일반진료도잘하는치과웃자,0,1
눈치없는 원장 덕에 출근한지 열흘이 지나고 개원한지 이틀이나 지나 회식을 했네요      정말 착하고 친절하고 일잘하고   이쁘고    원장만 잘하면 될듯합니다    교정치과 웃자는 전원 #치위생사 스태프로 언제든 #교정전문의 대표원장과 함께 전문적인 치과진료가 가능합니다     그리고 #모란역맛집 #황소곱창    #스크류바 마저 맛있는 맛집입니다  언제든 들러주세요     #성남 #수정구 #중원구 #분당구 #모란역 #모란역1번출구 #치과 #교정 #치과교정과 #교정전문 #성남교정 #성남교정전문 #성남치과 #분당치과 #분당교정치과 #교정치과 #교정전문의 #치과웃자 #교정치료는기본 #일반진료도잘하는치과웃자,0,1
신 은님 마무리 세레모니  #결혼 앞두고 #웨딩촬영 하기전  3개월만에 #앞니부분교정  그리고 #치아다듬기 마무으리  ,0,1
치과  웃자는 지난 1월 부터 시작되었습니다   개원할 위치가 결정된 이후에 제가 제일 고민했던 것은 환자분과 만나는 공간을 어떻게 꾸밀지에 대한 고민이었습니다    치과에서 필요한 대기실  상담실  진료실  소독실  직원실 그리고 위아래 층을 연결하기 위한 내부계단등을 적절하게 배치하는건 어려운 작업이었지만   운좋게도 학교 선배이자 멋진 대표님을 만나게 되어 수시로 만나 인테리어에 대해 의견을 나눌 수 있었고 환자들에게 가장 합리적인 동선을 찾기 위해 노력해왔습니다    병원에 들어올 때부터 나갈때까지 한순간도 찡그림이 없는 웃는 공간을 만들겠습니다    #성남 #수정구 #중원구 #분당구 #모란역 #모란역1번출구 #치과 #교정 #치과교정과 #교정전문 #성남교정 #성남교정전문 #성남치과 #분당치과 #분당교정치과 #교정치과 #교정전문의 #치과웃자 #교정치료는기본 #일반진료도잘하는치과웃자,0,1
웨이브 마르키사   피치모드복숭아의 상큼함상큼하면서 달달한 복숭아맛 액상마르키사가 마르키사 했다 베이프렌드 성남점에서 만나보세요    #모란핫플#성남전자담배#모란전자담배#모란역1번출구 #핫플레이스#맞팔환영#좋튀#인스타#일상#맞팔#팟디바이스 #전자담배액상 #과일멘솔액상#복숭아맛액상 #웨이브마르키사#테일러액상 bca tricompany bca  vafriend suji vafriend sinrim vafriend hanam vafriend doksan vafriend incheon vafriend moran vafriend official vafriend vafriend gwangmyeong,15,1
